"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"EncounterDayCareLM","EncounterDayCareLM","","","",0,*,"","","","null {[]} {[]}
","Episódio - Hospital de Dia (modelo)","Modelo Lógico - Episódio do Hospital de Dia","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"EncounterDayCareLM.id","EncounterDayCareLM.id","","","",1,1,"","","","code {[]} {[]}
","Identificador do episódio","Identificador do episódio","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.id",1,1,"",""
"EncounterDayCareLM.class","EncounterDayCareLM.class","","","",1,1,"","","","code {[]} {[]}
","Classe do episódio (e.g.: AMB)","Classe do episódio (e.g.: AMB)","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.class",1,1,"",""
"EncounterDayCareLM.type","EncounterDayCareLM.type","","","",1,1,"","","","code {[]} {[]}
","Tipo de episódio da urgência (e.g.: 183484003 | Day hospital care) (SNOMED CT)","Tipo de episódio da urgência (e.g.: 183484003 | Day hospital care) (SNOMED CT)","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.type",1,1,"",""
"EncounterDayCareLM.priority","EncounterDayCareLM.priority","","","",0,1,"","","","code {[]} {[]}
","stat | urgent | routine","Nivel de prioridade do episódio","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.priority",0,1,"",""
"EncounterDayCareLM.specialty","EncounterDayCareLM.specialty","","","",0,1,"","","","code {[]} {[]}
","Especialidade médica responsável pelo episódio","Especialidade médica responsável pelo episódio","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.specialty",0,1,"",""
"EncounterDayCareLM.category","EncounterDayCareLM.category","","","",0,1,"","","","code {[]} {[]}
","Categoria específica do ato realizado durante o episódio","Categoria específica do ato realizado durante o episódio","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.category",0,1,"",""
"EncounterDayCareLM.appointment","EncounterDayCareLM.appointment","","","",0,1,"","","","http://hl7.pt/fhir/example/StructureDefinition/AppointmentLM {[]} {[]}
","Referência ao agendamento associado ao episódio","Referência ao agendamento associado ao episódio","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.appointment",0,1,"",""
"EncounterDayCareLM.patient","EncounterDayCareLM.patient","","","",1,1,"","","","http://hl7.pt/fhir/example/StructureDefinition/PatientLM {[]} {[]}
","Referência ao paciente associado ao episódio, agendamento ou procedimento","Referência ao paciente associado ao episódio, agendamento ou procedimento","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.patient",1,1,"",""
"EncounterDayCareLM.location","EncounterDayCareLM.location","","","",0,1,"","","","http://hl7.pt/fhir/example/StructureDefinition/LocationLM {[]} {[]}
","Local associado ao episódio de urgência","Local associado ao episódio de urgência","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.location",0,1,"",""
"EncounterDayCareLM.doctor","EncounterDayCareLM.doctor","","","",0,1,"","","","http://hl7.pt/fhir/example/StructureDefinition/PractitionerLM {[]} {[]}
","Referência ao Profissional reponsável pelo episódio identificado por PPRF","Referência ao Profissional reponsável pelo episódio identificado por PPRF","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.doctor",0,1,"",""
"EncounterDayCareLM.nurse","EncounterDayCareLM.nurse","","","",0,1,"","","","http://hl7.pt/fhir/example/StructureDefinition/PractitionerLM {[]} {[]}
","Enfermeiro responsável pelo episódio identificado por ATND","Enfermeiro responsável pelo episódio identificado por ATND","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.nurse",0,1,"",""
"EncounterDayCareLM.start","EncounterDayCareLM.start","","","",1,1,"","","","dateTime {[]} {[]}
","Data e hora reais de inicio do episodio","Data e hora reais de inicio do episodio","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.start",1,1,"",""
"EncounterDayCareLM.end","EncounterDayCareLM.end","","","",0,1,"","","","dateTime {[]} {[]}
","Data e hora reais de término de episódio","Data e hora reais de término de episódio","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.end",0,1,"",""
"EncounterDayCareLM.duration","EncounterDayCareLM.duration","","","",0,1,"","","","integer {[]} {[]}
","Duração real do episódio em minutos","Duração real do episódio em minutos","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.duration",0,1,"",""
"EncounterDayCareLM.status","EncounterDayCareLM.status","","","",1,1,"","","","code {[]} {[]}
","planned | arrived | in-progress | finished | cancelled","Estado episódio. Valores possiveis:
- planned: Episódio planeado ou agendado
- arrived: O paciente foi admitido na instituição
- in-progress: O episódio está em progresso
- finished: O paciente teve alta
- cancelled: O episódio foi cancelado antes de iniciar","","","","","","","","","",,,,,"",,,,"EncounterDayCareLM.status",1,1,"",""
